monthly_payment,description,price,square_price,area,rooms,subways,floors
158334.0,"Продаётся уютная однокомнатная квартира площадью 32.8 квадратных метров на втором этаже девятиэтажного железобетонного дома, построенного в 1967 году. Дом расположен по адресу: Москва, улица Планерная, 12 к5. 

Квартира обладает жилой площадью 18.9 квадратных метров и кухней площадью 6.8 квадратных метров. Из окон открывается вид на двор, что создаёт дополнительный комфорт и уединение. Санузел совмещённый.

Рядом с домом находятся детская и спортивная площадки, а также парковка во дворе. Это отличное место для семей с детьми, благодаря развитой инфраструктуре района: рядом расположены школа, детский сад, торговый центр и парк. 

Расположение квартиры позволяет быстро добраться до нескольких станций метро: Планерной (0.4 км), Сходненской (1.6 км)

Квартира ждёт своих новых владельцев и готова к воплощению ваших дизайнерских идей, так как в ней ещё не проводился ремонт. Это прекрасная возможность создать интерьер своей мечты!",9500000,289634,32.8,1,"Ховрино, Речной вокзал, Планерная, Сходненская, Беломорская",9
405711.33628318587,,11743411,387571,30.3,1,нет метро,25
251668.0,"Продаётся уютная двухкомнатная квартира площадью 62.6 квадратных метров на шестом этаже монолитного дома новой постройки, расположенного по адресу: Москва, Родниковая улица, 30 к3. Дом построен в 2022 году и имеет 22 этажа.

Жилая площадь составляет 58 квадратных метров, что предоставляет достаточно места для комфортной жизни. Квартира ожидает своего нового владельца, который сможет воплотить свои дизайнерские идеи в жизнь, так как она требует ремонта.

Раздельный санузел удобен для семейного использования. Балкон открывает прекрасный вид на двор и улицу, предоставляя отличное место для отдыха и наслаждения свежим воздухом.

Для безопасности жителей в доме предусмотрены консьерж, закрытая территория и кодовая дверь. Во дворе расположены детская и спортивная площадки, где можно активно провести время всей семьёй.

В шаговой доступности находятся все необходимые объекты инфраструктуры: школа, детский сад, торговый центр, парк и фитнес-центр. Также рядом с домом имеется подземная парковка для вашего автомобиля.

Преимуществом данной квартиры является её расположение: всего 1.6 километра от метро Саларьево и 2.1 километра от метро Румянцево. Это позволит вам быстро добраться до любой точки города.

Приглашаю вас ознакомиться с этой замечательной квартирой, которая может стать вашим новым домом.",15100000,241214,62.6,2,"Румянцево, Саларьево",22
184334.0,"Арт. 69569818 Продается отличная 2х комнатная светлая и теплая квартира в зеленом  районе Москвы.

Квартира полностью готова для проживания: стеклопакеты, мебель, техника, просторная прихожия. В квартире чистый косметический ремонт.  Отличный вид из окон.

Она отлично подойдет для  комфортной жизни в Москве и прибыльной аренды.
Отличная транспортная доступность ,сетевые крупные магазины, детские сады и школы. Ближайшее метро Царицыно 15 мин транс. Станция ж/д Бирюлево товарное 10 мин пешком. Скоро открытие метро Бирюлево( 5мин от дома) 


Дом после капитального ремонта с дополнительным внешним утеплением стен! Была полная замена коммуникаций и лифтового оборудования. Около дома свободная парковка.

Документы:
- 1 собсвенник
- без обременений, материнского капитала, долгов, несовершеннолетних
- свободная продажа, ипотека возможна
- полная цена в ДКП
- никто не прописан
- быстрый выход на сделку


Доведем квартиру до идеала по вашему желанию. Сделаем частичный или капитальный ремонт, стоимость ремонта можем включить в ипотеку! Сделаем дизайн проект.

Помощь в одобрении ипотеки, ставка 11.75% ,возможна ставка 0,01 % на первые два года!!!

Предоставляем Юридическую и Финансовые гарантии на квартиры.

Записывайтесь на показ объекта прямо сейчас. Рады будем ответить на все ваши вопросы

ДАННУЮ КВАРТИРУ МОЖНО ПРИОБРЕСТИ ПО ИПОТЕКЕ 0,01% НА 2 ГОДА, А ТАКЖЕ от 11,75% на весь срок!

Предоставляем юридическую и финансовую гарантию на полную стоимость квартиры
Быстрый выход на сделку",11060000,250793,44.1,2,нет метро,9
405711.33628318587,,9734270,291445,33.4,1,нет метро,18
405711.33628318587,"Продаётся чистая,светлая, уютная 2 ком.квартира. Московская прописка!!! О КВАРТИРЕ: Кухня 9.5 кв.м. с выходом на просторный балкон, комнаты 16 и 15 кв.м., су совмещенный. Установлен теплый пол в санузле, прихожей и кухне, кондиционер в гостиной. Выполнен качественный ремонт, для себя, продавать не планировали. Ремонт в идеальном состоянии!!! Квартира обставлена мебелью, кухня изготовлена на заказ со встроенной техникой. Вся мебель и техника остается новым владельцам квартиры. ДОКУМЕНТЫ: 2 взрослых собственника, без обременений, долгов и маткапиталов!!! Приобреталась по ДКП у застройщика! ИНФРАСТРУКТУРА: 12 МИНУТ ДО МЕТРО. Комплекс находится в окружении лесов, рядом протекает живописная река Незнайка. 12 мин. на транспорте до метро Филатов луг, 18 мин. транспортом до метро Рассказовка, пос. Московский, Внуково, либо автобус до Теплого Стана. Через дорогу расположены: новая школа, детский сад, филиал Городской больницы 4, детская амбулатория, супермаркет Пятерочка, аптека, центр культуры и спорта Филимонковское, почта, филиал Сбербанка, памятник ""Бременские музыканты"". Объект №63250-4003.",13200000,240000,55.0,2,нет метро,3
405711.33628318587,,12605796,157908,79.83,3,нет метро,13
775005.0,"ID 235 714. Видовые апартаменты с 2-мя спальнями общей площадью 97 м² в комплексе Match Point в центре Кутузовского проспекта напротив Парка Победы. Апартаменты без отделки расположены на 25-м этаже. Из окон открываются панорамные виды на город, башни «Москва-Сити» и Парк Победы. Можно спланировать: кухню-гостиную, мастер-спальню с собственной ванной и гардеробной, вторую спальню, ванную комнату, гардеробную, прихожую.",46500000,479381,97.0,3,"Минская, Парк Победы, Славянский бульвар, Филёвский парк, Багратионовская, Фили, Славянский бульвар, Фили, Парк Победы",28
405711.33628318587,,19410273,539174,36.0,1,нет метро,26
963340.0,"ID 253 863. Светлая квартира с 3-мя спальнями общей площадью 95 м² в комплексе West Garden на западе Москвы у реки Раменки. Квартира без отделки расположена на 13-м этаже в корпусе 3. Возможная планировка: кухня-гостиная, 3 спальни, 3 санузла, гардеробная. Из окон открываются виды на город в сторону Парка Победы и на территорию комплекса.",57800000,606505,95.3,4,"Минская, Ломоносовский проспект",14
405711.33628318587,,11158162,207054,53.89,2,нет метро,10
405711.33628318587,,8067838,194828,41.41,1,нет метро,23
405711.33628318587,"ID 246 503. Видовая квартира с 2-мя спальнями и действующим камином общей площадью 150 м² в клубном доме «Агаларов Хаус». Красивая и светлая  квартира  с большим количеством окон, эркерными окнами и террасой .  Выполнена отделка по авторскому дизайн-проекту в  лаконичных тонах с использованием премиальных материалов. Интерьеры укомплектованы мебелью под заказ и бытовой техникой от европейских производителей. Планировка: гостиная-столовая с выходом на террасу, зона кухни, 2 спальни, 3 санузла, прихожая. Из окон открывается вид на зеленый двор мастерской имени Зураба Церетели.",125000000,833889,149.9,3,"Улица 1905 года, Баррикадная, Краснопресненская, Белорусская, Белорусская",13
405711.33628318587,,19241030,335736,57.31,2,нет метро,20
405711.33628318587,"ID 252 506. Видовая квартира с 1-й спальней площадью 103 м² в комплексе премиум-класса «Сити Парк» рядом с парком Красная Пресня. Выполнен дизайнерский ремонт с использованием премиальных материалов, на полу выложена паркетная доска из ценных пород дерева, широкоформатный керамогранит с имитацией бетона от испанского бренда Porcelanosa, стеновые панели на кухне облицованы из шпона орехового дерева, в гостиной — натуральный мрамор. Установлена система «теплый пол» и дополнительная шумоизоляция. Интерьер укомплектован мебелью от ведущих итальянских производителей — Porro, Lema, Cattelan, Bonaldo, Living Divani. Квартира оборудована техникой Neff, Liebherr и Miele, сантехника CEA. Планировка: просторная кухня-гостиная, мастер-спальня с собственной гардеробной и ванной, гостевой санузел, 2 лоджии, прихожая. Окна ориентированы на две стороны, открываются виды на город и на башни «Москва-Сити».",128000000,1242718,103.0,2,"Деловой центр, Выставочная, Международная, Улица 1905 года, Шелепиха, Деловой центр, Шелепиха, Тестовская, Деловой центр",20
405711.33628318587,,8962179,215178,41.65,1,нет метро,14
624671.0,"ID 238 089. Предлагаем вашему вниманию красивую квартиру в жилом квартале бизнес-класса ""Сердце Столицы"". Если вы мечтаете жить в самом сердце столицы, наслаждаясь уютом, комфортом и безопасностью, то эта квартира идеально подойдет для вас.

Показ этой прекрасной квартиры может быть организован в удобное для вас время по предварительной договоренности. 

Квартира представляет собой просторное и стильное жилое пространство с двумя спальнями и просторной кухней-гостиной. Общая площадь составляет 57 квадратных метров. Сделан дизайнерский ремонт, и вам не придется заботиться о мебели, технике, декоре, текстиле и осветительных приборах, так как все это включено в стоимость. Керамогранит ""Мосплитка"" и дизайнерское освещение создают неповторимый стиль интерьера. Мебель выполнена по индивидуальному проекту дизайнера, а высота потолков составляет 3 метра.

В кухне-гостиной площадью 15,6 квадратных метров установлена встроенная техника Weissgauff, включая микроволновую печь, вытяжку, холодильник, посудомоечную машину, варочную панель и духовую печь. В спальне площадью 13 квадратных метров есть дизайнерская кровать и вместительный шкаф до потолка, сделанный под цвет стен. Вторая спальня имеет площадь 14,5 квадратных метров и свою гардеробную комнату. В прихожей площадью 8 квадратных метров предусмотрена специальная зона для макияжа с зеркалом, столом и мягким пуфом. 

В квартире также имеются ванная комната и постирочная. Сантехника представлена известными брендами Grohe и Kasanye. 

Однако квартира - это не единственное преимущество. Жилой квартал ""Сердце Столицы"" — это проект бизнес-класса, состоящий из 10 корпусов, расположенных на набережной Москвы-реки всего в 3 километрах от ""Москва-Сити"". Проект был удостоен награды ""Лучший проект года"" в конкурсе Правительства Москвы в 2018 году. За архитектурное решение отвечало известное архитектурное бюро ""Speech"".

Территория жилого комплекса располагает 14 гектарами земли, где есть ландшафтная прогулочная зона, детские игровые площадки и скейтпарк. Прямой выход на шелепихинскую набережную с парковой зоной от архитектурного бюро ""Wowhaus"" позволяет наслаждаться природой и свежим воздухом. Вы сможете устраивать ужины с друзьями в ресторане City Diner&Bar, наслаждаться активным отдыхом на оборудованной площадке.

Инфраструктура комплекса порадует вас множеством возможностей для активной и комфортной жизни. Здесь вы найдете детскую и спортивную площадки, детский сад, школу, стадион, зону набережной, фитнес-центр с бассейном, спа-салон, медицинский центр, кинотеатр, торговую часть с магазинами, кафе и ресторанами. 

Покупатели этой квартиры будут приятно удивлены идеальным сочетанием качества и стиля. Не упустите возможность стать счастливым обладателем этой квартиры в престижном жилом квартале.

Видео Индустриального вида из окна отправлю по запросу.",37480000,652961,57.4,2,"Фили, Полежаевская, Шелепиха, Хорошёво, Шелепиха, Хорошёвская, Тестовская",24
405711.33628318587,,15429860,260200,59.3,2,нет метро,32
811672.0,"СВОБОДНАЯ ПРОДАЖА! Вашему вниманию предлагается просторная 4-ти комнатная квартира в престижном районе Хорошево-Мневники.
-Монолитный дом 2011 года построенный по индивидуальному проекту. Огороженная территория,детские площадки,подземный паркинг.
-Общая площадь квартиры составляет  144,8 кв.м без учета балкона.  Функциональная планировка:  квартира разделена на две зоны,хозяйская зона :3 изолированных спальни( 19кв.м,11,3кв.м,11,2 кв.м)  ,кабинет -16,1 кв.м ,санузел с джакузи; и гостевая зона ,включающая в себя  просторную гостиную  -полустудио с ( с кухней)-38 кв.м. и гостевой санузел c душевой кабиной и встроенной инфракрасной сауной. Полы -паркет. В санузлах и коридоре -полы с подогревом. Высота потолков -2,85м.
-Престижный район с развитой инфраструктурой: В пешей доступности парк Сосновый Бор,кадетская школа,школа- гимназия( входит в 10-ку лучших школ Москвы),образовательные и досуговые центры,поликлиники. Хорошая транспортная доступность.В 2025-2026 м году в 200 метрах от дома открывается станция метро  ""Бульвар Генерала Карбышева"".
-Свободная продажа. 1 взрослый собственник. Полная стоимость в договоре. Перепланировка узаконена. Возможна ипотека. Все документы готовы к сделке. Показы -по договоренности Лот №45237438.
 Агент Пахомова Елена Васильевна, НДВ-Супермаркет недвижимости",48700000,336325,144.8,4,Народное Ополчение,27
405711.33628318587,,9089178,258803,35.12,1,нет метро,25
405711.33628318587,,13982554,222652,62.8,3,нет метро,24
405711.33628318587,"Лучшее предложение в жилом комплексе!

Продаётся просторная  квартира (НЕ АПАРТАМЕНТЫ)103, 2 кв.м. на 7-м этаже, свободная планировка  в новом жилом комплексе комфорт-класса  ""Тринити-2». 
О КВАРТИРЕ:
-  Свободная планировка общей площадью 103,2 кв.м.;
 -  большая кухня-гостиная 34,4 кв.м.
- две изолированные комнаты, площадью 23,4 кв. м и 21,5 кв. м.;
- два. санузла;
-  из окон открываются виды на город и во двор;
- в квартире 3 панорамных окна, максимум естественного света;
- высокие потолки 2.8 м.


О ДОМЕ: 
- современный просторный подъезд с охраной; 
- в доме установлены три скоростных лифта производства ОТIS.
 - колясочная комната; 
- подземный паркинг;
- закрытый двор;
- охраняемая территория под видеонаблюдением;
- детские и спортивные площадки;
- площадки для отдыха и занятия спортом.
-  закрытая зона для выгула собак;


О ИНФРАСТРУКТУРЕ:
 Идеальная инфраструктура прекрасно учитывает потребности любой семьи:
 - коммерческий детский сад на 100 мест; 
- средняя школа №1383;
 - 2 муниципальных детских сада;
 - поликлиники;
 - аптеки;
- супермаркет и мини-маркеты; 
- уютные кафе и пекарни;
- beauty-студии и салоны;
- фитнес-центр, бассейн;
 -ТЦ Metromall,
- парк ""Лихоборка"" с прогулочными аллеями.

ТРАНСПОРТНАЯ ДОСТУПНОСТЬ: 
- м. Верхние Лихоборы 5 минут пешком; 
- Удобные выезды на Ленинградское, Алтуфьевское, Ярославское, Дмитровское шоссе - 20 минут до центра Москвы. 

Свободная продажа. Один взрослый собственник. Без обременений.
Возможно приобрести в ипотеку. 
Есть возможность купить 2 квартиры под объединение.
Возможно приобрести семейный паркинг на 2 автомобиля за дополнительную плату.
При покупке квартиры   дизайн-проект  в подарок!

Для покупателей:
-  помощь в одобрении ипотеки со сниженной ставкой от ведущих банков, высокая степень одобрения.
- страхование со скидкой до 40%; Лот №44800430.
 Агент Савельева Елена Алексеевна, НДВ-Супермаркет недвижимости",30199999,292635,103.2,3,"Лихоборы, Селигерская, Окружная, Верхние Лихоборы, Окружная",12
405711.33628318587,,12209180,212555,57.44,2,нет метро,8
458336.0,"Номер в базе: 1797889. Продается уникальная, светлая двухкомнатная квартира без отделки. Расположенная на третьем этаже, она предлагает великолепный открытый вид на тихую улочку что станет настоящим подарком для нового владельца. Просторные помещения и множество окон наполняют квартиру светом и создают атмосферу уюта. Удобная планировка позволяет легко создать две изолированные спальни и просторную кухню-гостиную, идеально подходящую для семейных вечеров и встреч с друзьями.

Квартира находится в жилом комплексе ""Level Причальный"", который строится в одном из самых престижных и зеленых районов Москвы — Хорошёво-Мнёвники. Это место сочетает в себе развитую инфраструктуру и высококачественную застройку бизнес-класса. Район активно развивается и входит в территорию Большого Сити, что делает его особенно привлекательным для жизни. В шаговой доступности находятся более 50 детских садов, 25 школ, детские и взрослые поликлиники, а также множество супермаркетов и торговых центров.

Совсем скоро Шелепихинская набережная преобразится и станет одним из главных мест притяжения для жителей ""Level Причальный"". Внутри комплекса предусмотрен собственный торговый центр с разнообразными магазинами, ресторанами, кафе, а также услугами для дома и красоты, что сделает вашу жизнь еще более комфортной.

Транспортная доступность просто отличная:
- Всего 7 минут пешком до станции метро и МЦК ""Шелепиха"";
- 5 минут на автомобиле до ТТК;
- 10 минут до Москва-Сити;
- 13 минут до Садового кольца.

Квартира оформлена по ДДУ, находится в собственности более 3 лет. Имеется обременение (ипотека), но полная цена будет указана в ДКП.

СОТРУДНИЧАЯ С НАМИ ВЫ: 
- Экономите на Ипотеку с нами ставка на весь срок 11.99%; 
- Экономите на Страховке до 40%; 
- Подбор и юридическое сопровождение на всех этапах работы. 
- На покупку финансовая гарантия 25 млн. 
- Звоните, оперативно организую показ.

Не упустите возможность стать владельцем этой замечательной квартиры в сердце Москвы! Звоните и записывайтесь на просмотр уже сегодня!




Код пользователя: 113312",27500000,436507,63.0,3,"Фили, Шелепиха, Шелепиха, Тестовская",33
405711.33628318587,,17084586,201945,84.6,4,нет метро,17
405711.33628318587,,20959728,436661,48.0,2,нет метро,15
183334.0,"К вашему вниманию предлагается отличная 3-комнатная квартира, расположенная в Москве, Восточный АО.

В квартире 3 (три) изолированные комнаты, раздельный санузел и большой балкон. Окна выходят во двор, где есть детская и спортивная площадки, а так же пруды. Вся инфраструктура города в шаговой доступности: школы, детские сады, множество магазинов и супермаркетов, детская и взрослая поликлиники, аптеки и многое другое, что сделает вашу жизнь более комфортной.

Удобная транспортная логистика, остановка общественного транспорта в минуте от дома, быстрый выезд на МКАД и шоссе Энтузиастов в сторону центра Москвы, до станций метро и D4 Новогиреево 30 минут пешком или 15 минут на общественном транспорте (иногда меньше).

Недавно был сделан ремонт в подъезде и обновлен фасад дома.

Тихие соседи. 1 взрослый собственник. Альтернатива подобрана.

Звоните в любое время, оперативный показ!",11000000,193661,56.8,3,нет метро,9
